Date,V7.3 (no overlay),V7.3 + V2 (original),V7.3 + V2 (tuned),A voltgt15 db0,A voltgt15 db10,A voltgt20 db0,A voltgt20 db10,A voltgt25 db0,A voltgt25 db10,A voltgt30 db0,A voltgt30 db10,A invvol-only,A voltgt20+invvol db10,A voltgt25+invvol db10,CONTROL universe equal weight,CONTROL SPY buy&hold,CONTROL QQQ buy&hold
2024-01-02,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2024-01-03,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,99183.34523947306,98941.8490761381
2024-01-04,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,98863.84165233273,98432.64919248072
2024-01-05,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,98999.2656771933,98549.39357882376
2024-01-08,101909.1977367257,101909.1977367257,101909.1977367257,101417.2008816583,101417.2008816583,101889.10890966559,101889.10890966559,101909.1977367257,101909.1977367257,101909.1977367257,101909.1977367257,101761.92834913424,101761.92834913424,101761.92834913424,101436.59736929742,100412.5710211211,100586.20827407742
2024-01-09,102505.3411601493,102505.34116014931,102505.34116014931,101859.71322501478,101859.71322501478,102478.97930864646,102478.97930864646,102505.3411601493,102505.3411601493,102505.3411601493,102505.3411601493,102279.04178592346,102279.04178592346,102279.04178592346,101418.8235390494,100260.22564462767,100784.91857494075
2024-01-10,104393.1343039839,104393.13430398391,104393.13430398391,103261.00649610901,103261.00649610901,104346.90781576982,104346.90781576982,104393.1343039839,104393.1343039839,104393.1343039839,104393.1343039839,104247.39754409359,104247.39754409359,104247.39754409359,102327.33617354903,100827.24390824692,101467.99565708761
2024-01-11,104633.6677743546,104633.66777435462,104633.66777435462,103439.5525060912,103439.5525060912,104584.91023022405,104584.91023022405,104633.6677743546,104633.6677743546,104633.6677743546,104633.6677743546,104440.37737889787,104440.37737889787,104440.37737889787,102308.6265163789,100782.81870873591,101679.13008944996
2024-01-12,105301.78891327657,105301.78891327657,105301.78891327657,103935.49331364466,103935.49331364466,105246.00094648181,105246.00094648181,105301.78891327657,105301.78891327657,105301.78891327657,105301.78891327657,105176.95118372815,105176.95118372815,105176.95118372815,102045.69067404275,100852.6325871709,101731.29021687197
2024-01-16,105663.15148099148,105663.15148099148,105663.15148099148,104178.33802729304,104203.72976540739,105569.38928354898,105603.56101276686,105663.15148099148,105663.15148099148,105663.15148099148,105663.15148099148,105423.57042466632,105423.57042466632,105423.57042466632,100920.6543402389,100482.37824808138,101721.35242773518
2024-01-17,105386.95144161336,105386.95144161336,105386.95144161336,103978.5917174029,103998.70875559996,105302.39768851335,105330.26733707578,105386.95144161336,105386.95144161336,105386.95144161336,105386.95144161336,105195.67190299515,105195.67190299515,105195.67190299515,100120.44854736741,99923.8406147027,101147.56828515678
2024-01-18,107412.15420589692,107412.15420589692,107412.15420589692,105486.70035676402,105502.00005393972,107318.21631030198,107334.15954765251,107412.15420589692,107412.15420589692,107412.15420589692,107412.15420589692,107089.31594018653,107089.31594018653,107089.31594018653,100687.49259351166,100812.44437704283,102583.27181278387
2024-01-19,110207.74818228104,110207.74818228102,110207.74818228102,107542.73321007678,107577.14639113918,110066.4197251918,110100.33639276124,110207.74818228104,110207.74818228104,110207.74818228104,110207.74818228104,109574.25916985644,109574.25916985644,109574.25916985644,101747.33513171901,102069.1806580437,104617.60016567532
2024-01-22,109961.85763767615,109961.85763767615,109961.85763767615,107329.76099663405,107394.62386916378,109804.68522802972,109857.03327483244,109961.85763767615,109961.85763767615,109961.85763767615,109961.85763767615,109244.81248771009,109244.81248771009,109244.81248771009,102467.48768677661,102284.99440610978,104754.22013029191
2024-01-23,110459.4790047975,110459.4790047975,110459.4790047975,107697.3046040415,107764.00410320969,110297.01953857618,110349.41833324598,110459.4790047975,110459.4790047975,110459.4790047975,110459.4790047975,109765.27355789709,109765.27355789709,109765.27355789709,103101.02361915025,102583.3063948608,105188.90554620356
2024-01-24,112059.2668609992,112059.26686099918,112059.26686099918,108850.2116973706,108951.51342614328,111867.93213642549,111932.37213923287,112059.2668609992,112059.2668609992,112059.2668609992,112059.2668609992,111242.04615651254,111242.04615651254,111242.04615651254,102645.26071814788,102695.43695532737,105772.61989760667
2024-01-25,112063.86438394841,112063.86438394841,112063.86438394841,108870.32329231832,108954.92612948606,111869.6022785537,111936.92128393501,112063.86438394841,112063.86438394841,112063.86438394841,112063.86438394841,111372.85923980357,111372.85923980357,111372.85923980357,102423.98840183065,103253.98789165546,105901.78841544871
2024-01-26,111805.28243779499,111805.282437795,111805.282437795,108740.3781399228,108762.98288488078,111643.8322509727,111681.06031197158,111805.28243779499,111805.28243779499,111805.28243779499,111805.28243779499,111209.02482171397,111209.02482171397,111209.02482171397,102322.56478574093,103122.81415912721,105270.87146072387
2024-01-29,113507.28606479047,113507.28606479047,113507.28606479047,110097.70973945143,110122.5543425902,113326.78258748338,113365.15430525433,113507.28606479047,113507.28606479047,113507.28606479047,113507.28606479047,112887.57450426811,112887.57450426811,112887.57450426811,104139.94867156191,103939.48887407828,106348.89038254727
2024-01-30,113335.02790294889,113335.02790294889,113335.02790294889,109944.96551704149,109969.7756519829,113147.99859220795,113194.70876033886,113335.02790294889,113335.02790294889,113335.02790294889,113335.02790294889,112702.8690232936,112702.8690232936,112702.8690232936,103380.04635297893,103859.09915087275,105640.97261771449
