Date,buy&hold,V2 (original params),V2 (tuned on 2024-26),A voltgt10,A voltgt12,A voltgt15,A voltgt20,V2 + voltgt15 (min of both)
1993-01-29,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
1993-02-01,100711.21569126245,100711.21569126245,100711.21569126245,100711.21569126245,100711.21569126245,100711.21569126245,100711.21569126245,100711.21569126245
1993-02-02,100924.59463656011,100924.59463656011,100924.59463656011,100924.59463656011,100924.59463656011,100924.59463656011,100924.59463656011,100924.59463656011
1993-02-03,101991.41026349881,101991.41026349881,101991.41026349881,101991.41026349881,101991.41026349881,101991.41026349881,101991.41026349881,101991.41026349881
1993-02-04,102418.1839740041,102418.1839740041,102418.1839740041,102418.1839740041,102418.1839740041,102418.1839740041,102418.1839740041,102418.1839740041
1993-02-05,102347.02601908498,102347.02601908498,102347.02601908498,102347.02601908498,102347.02601908498,102347.02601908498,102347.02601908498,102347.02601908498
1993-02-08,102347.02601908498,102347.02601908498,102347.02601908498,102347.02601908498,102347.02601908498,102347.02601908498,102347.02601908498,102347.02601908498
1993-02-09,101635.86569750735,101635.86569750735,101635.86569750735,101635.86569750735,101635.86569750735,101635.86569750735,101635.86569750735,101635.86569750735
1993-02-10,101778.062958021,101778.062958021,101778.062958021,101778.062958021,101778.062958021,101778.062958021,101778.062958021,101778.062958021
1993-02-11,102275.92343385065,102275.92343385065,102275.92343385065,102275.92343385065,102275.92343385065,102275.92343385065,102275.92343385065,102275.92343385065
1993-02-12,101493.58142748899,101493.58142748899,101493.58142748899,101493.58142748899,101493.58142748899,101493.58142748899,101493.58142748899,101493.58142748899
1993-02-16,98933.12109342155,98933.12109342155,98933.12109342155,98933.12109342155,98933.12109342155,98933.12109342155,98933.12109342155,98933.12109342155
1993-02-17,98861.97895841236,98861.97895841236,98861.97895841236,98861.97895841236,98861.97895841236,98861.97895841236,98861.97895841236,98861.97895841236
1993-02-18,98790.92383290788,98790.92383290788,98790.92383290788,98790.92383290788,98790.92383290788,98790.92383290788,98790.92383290788,98790.92383290788
1993-02-19,99146.4763088543,99146.4763088543,99146.4763088543,99146.4763088543,99146.4763088543,99146.4763088543,99146.4763088543,99146.4763088543
