strategy,ROI,CAGR,MDD,Sharpe,Calmar,AnnualizedTurnover,TickerTrades,Rebalances,DefensiveDays,DefensiveEpisodes,MeanWeightWhenDefensive,MeanExposure,MinExposure
V7.3 (no overlay),190.05601778883334,50.40156940528109,-31.584352686362106,1.4643664904722775,1.595776551312515,7.879124318927156,222.0,41.0,,,,,
V7.3 + V2 (original),186.1204467395568,49.61614890486974,-31.748491098625987,1.5169724442712416,1.562787621960939,7.879124318927156,222.0,41.0,64.0,2.0,0.6984374999999999,,
V7.3 + V2 (tuned),212.32237448711695,54.725984393419665,-25.783126921658795,1.669385453709202,2.122550323694361,7.879124318927156,222.0,41.0,59.0,5.0,0.49152542372881364,,
A voltgt15 db0,80.21786020942277,25.325065474389596,-20.519065821754058,1.440991095794834,1.2342211723664476,5.156016223473232,697.0,136.0,,,,0.5506542111354078,0.23616869548422406
A voltgt15 db10,87.27511735731663,27.183752737066037,-19.558200068508004,1.4974982696472918,1.3898903090185921,4.2845431495892505,247.0,46.0,,,,0.5506542111354078,0.23616869548422406
A voltgt20 db0,112.23128427312292,33.430181162434636,-26.58213521715038,1.4179481809569392,1.257618354934332,7.53325177281448,682.0,133.0,,,,0.7324530128464211,0.31489159397896543
A voltgt20 db10,113.06193163145495,33.63009152938985,-25.62043520394821,1.399552608684294,1.3126276451466101,6.283084759230754,267.0,50.0,,,,0.7324530128464211,0.31489159397896543
A voltgt25 db0,134.42274392353548,38.61408179074897,-30.665230463119187,1.3734533564548044,1.2592138134161357,8.189455337340881,547.0,106.0,,,,0.8727471828172432,0.3936144924737068
A voltgt25 db10,130.90458161597013,37.813063583854586,-29.727643309544515,1.3419548160952075,1.271983224170149,7.141376667888994,262.0,49.0,,,,0.8727471828172432,0.3936144924737068
A voltgt30 db0,147.67262769599188,41.56601844070804,-31.316605797116857,1.365680539416833,1.3272836369941083,7.793028420977099,362.0,69.0,,,,0.9400426340479012,0.4723373909684481
A voltgt30 db10,140.38813652170492,39.95551453375348,-31.30474581147835,1.318172766967995,1.2763404876171585,7.209207412820875,237.0,44.0,,,,0.9400426340479012,0.4723373909684481
A invvol-only,145.82209223013695,41.159688091795,-29.149945166906612,1.4018305782523066,1.4119988170174271,7.545518547737971,222.0,41.0,,,,1.0,1.0
A voltgt20+invvol db10,78.73772814795028,24.929570197012985,-28.312021881539064,1.1004989573091146,0.880529490310559,6.365315431908567,262.0,49.0,,,,0.8388250122188826,0.3230022723041031
A voltgt25+invvol db10,98.70637290430948,30.10490218872841,-29.149945166906623,1.1899114217409748,1.0327601652886103,6.621767870808109,242.0,45.0,,,,0.9368014462858341,0.4037528403801289
CONTROL universe equal weight,89.41557442159916,27.738929682767722,-25.012701141904238,1.2798220103855216,1.108993767822068,2.4381984315735967,1163.0,40.0,,,,,
CONTROL SPY buy&hold,68.36845977121588,22.100503638617376,-18.75523448942732,1.3487570452281568,1.1783645600952548,,,,,,,,
CONTROL QQQ buy&hold,79.76105188655396,25.20321948576083,-22.88330692157109,1.1759858078634218,1.1013801271005486,,,,,,,,
