index,V7.3 (no overlay),CHAMPION V7.3+V2 tuned,CHAMPION V7.3+V2 original,"B1 dip5 + quality + trend, n5","B2 RSI dip + quality + trend, n5","B3 dip5 + quality + trend, n3","B4 dip5 + quality + trend, n5, hold4w","B5 dip5 only (no gates), n5","B6 dip5 + trend only, n5","BLEND 50/50 champion + B4 dip5 + quality + trend, n5, hold4w",CONTROL SPY buy&hold,CONTROL QQQ buy&hold
V7.3 (no overlay),1.0,0.9395317529598485,0.9885159423709499,0.723057027830029,0.74022781323544,0.6316384708592112,0.7675485781843862,0.5528628891382426,0.5822730343924821,0.9294265376853965,0.8039158138076731,0.8355370585948276
CHAMPION V7.3+V2 tuned,0.9395317529598485,1.0,0.9691947790623161,0.6474361852171701,0.6644205005102433,0.5697750783821376,0.6880995137967226,0.49678511875341763,0.5272077683304691,0.9183293093837371,0.7072768312517476,0.7620107304464953
CHAMPION V7.3+V2 original,0.9885159423709499,0.9691947790623161,1.0,0.7043242632264877,0.721933657352029,0.620030693188536,0.7481937889265892,0.547673774122139,0.5825975715203706,0.9348878714574935,0.7799032296046848,0.8175608256599941
"B1 dip5 + quality + trend, n5",0.723057027830029,0.6474361852171701,0.7043242632264877,1.0,0.8684590464012472,0.9299495567454693,0.8288361333325619,0.6511682964193936,0.7956418177303531,0.8036853991044822,0.742263807966434,0.7272143383910962
"B2 RSI dip + quality + trend, n5",0.74022781323544,0.6644205005102433,0.721933657352029,0.8684590464012472,1.0,0.8093582535966762,0.8612059702389908,0.5641101653831904,0.6482373445683401,0.8308467692088661,0.7357582253760911,0.7171708801059808
"B3 dip5 + quality + trend, n3",0.6316384708592112,0.5697750783821376,0.620030693188536,0.9299495567454693,0.8093582535966762,1.0,0.7964620322246388,0.6713175472250364,0.8337962547688338,0.7435625085942179,0.6447248501036285,0.6310404944553722
"B4 dip5 + quality + trend, n5, hold4w",0.7675485781843862,0.6880995137967226,0.7481937889265892,0.8288361333325619,0.8612059702389908,0.7964620322246388,1.0,0.6200053240203354,0.6662320956629221,0.9190921750443884,0.7359936199281697,0.7236775188091185
"B5 dip5 only (no gates), n5",0.5528628891382426,0.49678511875341763,0.547673774122139,0.6511682964193936,0.5641101653831904,0.6713175472250364,0.6200053240203354,1.0,0.7681576205285846,0.6081512103236141,0.6524997706973421,0.6071782757340656
"B6 dip5 + trend only, n5",0.5822730343924821,0.5272077683304691,0.5825975715203706,0.7956418177303531,0.6482373445683401,0.8337962547688338,0.6662320956629221,0.7681576205285846,1.0,0.650136764880209,0.6959173927156657,0.6342480877150404
"BLEND 50/50 champion + B4 dip5 + quality + trend, n5, hold4w",0.9294265376853965,0.9183293093837371,0.9348878714574935,0.8036853991044822,0.8308467692088661,0.7435625085942179,0.9190921750443884,0.6081512103236141,0.650136764880209,1.0,0.7866055140871454,0.8091386847404084
CONTROL SPY buy&hold,0.8039158138076731,0.7072768312517476,0.7799032296046848,0.742263807966434,0.7357582253760911,0.6447248501036285,0.7359936199281697,0.6524997706973421,0.6959173927156657,0.7866055140871454,1.0,0.9471162135440325
CONTROL QQQ buy&hold,0.8355370585948276,0.7620107304464953,0.8175608256599941,0.7272143383910962,0.7171708801059808,0.6310404944553722,0.7236775188091185,0.6071782757340656,0.6342480877150404,0.8091386847404084,0.9471162135440325,1.0
