Date,V7.3 (no overlay),CHAMPION V7.3+V2 tuned,CHAMPION V7.3+V2 original,"B1 dip5 + quality + trend, n5","B2 RSI dip + quality + trend, n5","B3 dip5 + quality + trend, n3","B4 dip5 + quality + trend, n5, hold4w","B5 dip5 only (no gates), n5","B6 dip5 + trend only, n5","BLEND 50/50 champion + B4 dip5 + quality + trend, n5, hold4w",CONTROL SPY buy&hold,CONTROL QQQ buy&hold
2024-01-02,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2024-01-03,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,99183.34523947306,98941.8490761381
2024-01-04,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,98863.84165233273,98432.64919248072
2024-01-05,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,98999.2656771933,98549.39357882376
2024-01-08,101909.1977367257,101909.1977367257,101909.1977367257,102308.53673985694,101946.94753646212,102707.25059578198,102308.53673985694,102102.4609282012,102329.77202538456,102108.8672382913,100412.5710211211,100586.20827407742
2024-01-09,102505.3411601493,102505.34116014931,102505.34116014931,100368.30364767807,102432.82777966831,99612.26529235682,100368.30364767807,101113.95418598187,99962.18354108406,101439.29973124868,100260.22564462767,100784.91857494075
2024-01-10,104393.1343039839,104393.13430398391,104393.13430398391,101736.74229906648,104234.39907579555,101491.54327944279,101736.74229906648,101200.04413147624,101118.65952589591,103064.90030659176,100827.24390824692,101467.99565708761
2024-01-11,104633.6677743546,104633.66777435462,104633.66777435462,100562.69427683475,104812.27833321625,99826.7628824609,100562.69427683475,99891.26240750644,99485.37019823275,102588.94931976178,100782.81870873591,101679.13008944996
2024-01-12,105301.78891327657,105301.78891327657,105301.78891327657,100387.8319977465,104883.25178405209,100029.51578123933,100387.8319977465,98823.88873500214,98938.4233844432,102827.28897728451,100852.6325871709,101731.29021687197
2024-01-16,105663.15148099148,105663.15148099148,105663.15148099148,99258.87009362491,104861.17290920824,98836.88243571311,99745.74606108709,95598.04616350013,98175.87561679685,102674.87999209233,100482.37824808138,101721.35242773518
2024-01-17,105386.95144161336,105386.95144161336,105386.95144161336,98945.66535333861,103764.6492738485,98209.94973206337,98749.57545175703,94464.11832321259,97105.77533783775,102027.97351513522,99923.8406147027,101147.56828515678
2024-01-18,107412.15420589692,107412.15420589692,107412.15420589692,98644.09513478412,104406.52536968852,97829.3706418312,99408.97540253577,93265.90852071445,97095.1474188846,103348.94617050416,100812.44437704283,102583.27181278387
2024-01-19,110207.74818228104,110207.74818228102,110207.74818228102,98997.02184785226,107238.06656492046,97105.71553436354,102170.18435368639,92034.39423294184,97632.18095095847,106129.19031007233,102069.1806580437,104617.60016567532
2024-01-22,109961.85763767615,109961.85763767615,109961.85763767615,100081.8520216935,109394.2353397867,97818.22569577656,104660.05952062174,91219.61921027064,99625.15702763744,107303.97281890172,102284.99440610978,104754.22013029191
2024-01-23,110459.4790047975,110459.4790047975,110459.4790047975,100463.26680710408,109910.52724646429,98794.75191634207,105205.2290207882,92655.83255999582,101277.66936180185,107826.24026903926,102583.3063948608,105188.90554620356
2024-01-24,112059.2668609992,112059.26686099918,112059.26686099918,99691.30885586329,108934.56673460928,98660.65277659753,104167.20449379225,91299.21195868895,100368.81344612714,108075.1229797517,102695.43695532737,105772.61989760667
2024-01-25,112063.86438394841,112063.86438394841,112063.86438394841,99632.95585191528,109231.05347613855,98854.35689125376,103651.52633198525,88561.03911591283,100388.70321456049,107809.8278848699,103253.98789165546,105901.78841544871
2024-01-26,111805.28243779499,111805.282437795,111805.282437795,99846.36921638896,108875.23243073763,99607.84115419142,102619.65598155762,88934.19872565144,99884.4007525532,107148.81139305785,103122.81415912721,105270.87146072387
2024-01-29,113507.28606479047,113507.28606479047,113507.28606479047,101164.14966234358,110909.04373023694,101029.03794259633,105410.93523535338,91914.88384720507,102489.12558375354,109421.60733130049,103939.48887407828,106348.89038254727
2024-01-30,113335.02790294889,113335.02790294889,113335.02790294889,101062.14752610837,109917.88356905081,100508.4005622062,104153.50907838342,88725.91285679322,101360.6406197956,108685.94411968449,103859.09915087275,105640.97261771449
2024-01-31,112221.15347280406,112221.15347280406,112221.15347280406,100359.3089205169,108581.61119629264,98049.09889534795,100878.4316461813,85778.9164122566,98943.43166757448,106443.05358624742,102164.39651835208,103571.87337331241
2024-02-01,113999.26272138483,113999.26272138483,113999.26272138483,102110.293458319,110436.41921863539,99974.05894428723,102336.09944097116,86507.96216208213,100662.16938876016,108055.36969981554,103501.53582550789,104791.47736416479
2024-02-02,120251.08215127328,120251.08215127327,120251.08215127327,102670.1190666233,113640.11221849173,101777.58005126934,105923.21762004089,87733.03073567791,101828.38275906927,112912.09121312945,104591.13385028594,106562.51115727185
2024-02-05,121580.24401079425,121580.24401079425,121580.24401079425,103601.97126188729,114534.40566596552,102234.64369341453,106522.7216763171,85915.88165267716,102251.69863101176,113855.64223216788,104210.31031790058,106423.41243060511
2024-02-06,120394.74451308804,120394.74451308805,120394.74451308805,103539.68584507583,121490.00509443933,102568.24357149308,106458.68030684619,88931.81878298584,102698.60156738792,113266.3278858344,104512.85929603453,106209.79165588052
2024-02-07,123234.71803607857,123234.7180360786,123234.7180360786,106333.33693817435,125527.6902739179,105736.40519344674,109331.09010973135,89025.35087754557,104648.42690072427,116130.28408401695,105384.54170674182,107302.71347125307
2024-02-08,123390.23222951144,123390.23222951147,123390.23222951147,105827.82004146637,127683.66910466558,106161.36903406508,108811.3216629073,89541.83820032423,104710.35087192358,115927.51234404086,105431.0887266816,107501.4313524285
2024-02-09,125316.7837525653,125316.78375256534,125316.78375256534,106980.40254663453,129162.80377453835,107727.767780588,109996.3978145634,90238.49217668266,105731.65213940067,117463.81825971577,106040.4170208577,108559.57469597834
2024-02-12,124581.30308399683,124581.30308399687,124581.30308399687,105671.64052879748,126079.28595090292,105909.20651498513,109136.83846545886,90454.04423293695,105572.62822296284,116660.16584344924,105993.8633494432,108134.82706920347
2024-02-13,123180.03262633411,123180.03262633414,123180.03262633414,102466.41170309711,122453.9811710479,101872.0480011029,107773.79358900832,89077.45484269636,104768.74719318765,115275.57539440553,104534.01098557562,106448.24553297897
2024-02-14,125573.44902645273,125573.44902645276,125573.44902645276,103132.11261850878,122741.77972051672,102532.07080257582,108449.3377293268,90920.2440118337,105787.11377717457,116756.77416319927,105483.98125348371,107608.23794963474
2024-02-15,125248.85896902632,125248.85896902636,125248.85896902636,103530.5768244499,122687.95227355091,104212.18640119213,108730.14689735565,92430.39102908675,106824.61962205385,116757.03393542982,106211.7856149887,107928.66532156555
2024-02-16,124615.8181665175,124615.81816651755,124615.81816651755,102428.54618762329,121564.36887351371,103102.418644352,107861.52046094406,91216.21349419103,105944.327356007,115995.59756911597,105682.86034696753,106950.00155017384
2024-02-20,122428.23247614238,122428.23247614241,122428.23247614241,102400.0193236277,120727.55583100872,103342.85151455938,107935.1190196704,90861.32975746163,107070.54790473217,115017.04154873395,105101.02259772013,106142.72863490938
2024-02-21,121405.66177096221,121405.66177096224,121405.66177096224,96482.90041834494,120233.40820547182,103205.30820665885,101858.75717515098,90555.43787893781,107248.39194843423,111299.18244678085,105196.24510950323,105717.97342782244
2024-02-22,129113.34235332118,129113.34235332122,129113.34235332122,99425.91440745708,124345.14835845299,105447.91186601199,104006.34683922963,90904.4085596152,110205.80374088533,116005.52351727925,107373.31268715586,108812.93904693799
2024-02-23,128635.02477874552,128635.02477874556,128635.02477874556,100366.87218186284,124908.79328880533,105917.51749031182,104923.06999906461,91123.85861604675,110346.81123630008,116301.88715909955,107447.37020644847,108492.51167500716
2024-02-26,128709.47649499307,128709.47649499311,128709.47649499311,102932.46182264201,125422.06602325785,108503.68697996499,104740.7995959169,93208.07836025915,112541.81393347846,116234.52517818991,107053.84900886375,108435.37886286073
2024-02-27,128323.44749313447,128323.44749313452,128323.44749313452,105850.31299726735,126253.063169078,111925.8771863259,105105.85963285783,94265.38132817112,115843.3861433188,116262.77822529164,107252.72145087288,108696.19466059493
2024-02-28,127533.83705174988,127533.83705174993,127533.83705174993,105023.65149714562,126463.01906459259,111309.36751835234,104088.25085858928,94062.63342782631,115361.00870466589,115342.26571632187,107110.97187357409,108117.4378332921
2024-02-29,128564.61100547339,128564.61100547343,128564.61100547343,100962.55181120356,126567.15842156942,105225.22694593914,104143.63220014989,93467.20373198943,110806.658631374,115839.06896375318,107496.02574386768,109043.94147726183
2024-03-01,133308.7809787506,133308.78097875064,133308.78097875064,100518.69164964795,126809.24076921602,103760.7397826759,103846.79501623932,93371.50893694667,109843.40064606303,117811.27482538822,108505.23404544021,110685.80675252684
2024-03-04,134905.27444659188,134905.2744465919,134905.2744465919,98227.54162258042,124678.86110982718,100339.19070343251,101860.95787757132,89980.3587038804,107453.35272207057,117390.28496474592,108388.86649559074,110290.86491285029
2024-03-05,132073.05917334586,132073.0591733459,132073.0591733459,96747.31977786038,122337.30702613179,98110.64862580197,100188.53167227324,88274.78359185229,105834.10421640449,115194.33416446982,107305.6206291497,108311.18302974312
2024-03-06,133386.4386500317,133386.4386500317,133386.4386500317,96973.02387016722,121644.19057172464,97972.8180182558,100702.0926618465,88000.34362858416,106081.00708133265,116062.33996852042,107849.35873132432,108991.78134983982
2024-03-07,139432.36801393467,139432.36801393467,139432.36801393467,97331.80343719851,123175.65571573295,98951.58033789256,102092.79520905305,89026.96634705592,106473.48424943494,119494.09927668792,108919.91358404071,110646.07075660385
2024-03-08,134775.04751716027,134775.04751716027,134775.04751716027,96560.94252505375,121809.91801608642,98227.70340685576,101150.67443384885,88478.36592313586,105630.22188000078,116947.077367474,108266.16674182833,109048.9065816742
2024-03-11,132220.27334557127,132220.27334557127,132220.27334557127,96702.7956298225,121702.98815085884,98235.86359200948,100778.68686425284,89413.86084298736,105298.75126866165,115623.62246580144,108173.07935342345,108644.03453317292
2024-03-12,136544.45221336145,136544.45221336148,136544.45221336148,97016.57484127021,122232.20553931716,97736.07987299991,100641.08809065651,88691.33217721626,106535.32035473932,117435.38681477412,109336.73489749413,110201.44755155541
2024-03-13,134986.07099769832,134986.07099769832,134986.07099769832,96902.48651836369,122701.5476720143,97283.1744937653,100411.665776922,87920.54046013109,106601.76660206029,116631.38867267933,109165.34634893904,109354.43106005585
2024-03-14,134817.6838012087,134817.68380120874,134817.68380120874,97097.45736079436,122604.60269524282,95945.2201144325,98872.92101246837,86626.16460972148,104536.5782624368,115664.9924298071,108949.54590382233,109078.71994908457
2024-03-15,132815.95647705268,132815.9564770527,132815.9564770527,95825.77445508387,121471.28032354769,95016.48395728273,98097.0237388797,85863.81859457263,103314.93459998767,114352.47925634663,108201.42793858827,107782.11514812423
2024-03-18,133904.9355283246,133904.93552832463,133904.93552832463,96732.1406020394,122117.8722394084,95024.61846942485,97881.33146658074,86981.50375661795,103832.68993325447,114695.55919879641,108844.49251243492,108666.38887349665
2024-03-19,134126.79386736467,134126.7938673647,134126.7938673647,96782.54249608699,121816.76873849156,94988.12890021081,98018.01765191337,87117.05663834642,103886.79154006398,114870.65817766254,109449.34436413897,108937.1348800556
2024-03-20,135699.1379634529,135699.13796345293,135699.13796345293,98722.64293015531,123933.8081242687,97421.87224648296,99795.28990174465,88886.16035289232,105969.3035733575,116585.38511653196,110461.68551029448,110228.76699629148
2024-03-21,137697.99354022677,137697.99354022683,137697.99354022683,100390.77316651205,126413.44648695346,99831.47047031009,101433.85389078059,90480.81740555876,107759.88164308612,118401.1619975692,110826.73174469512,110750.39101144786
2024-03-22,138546.31433694882,138546.31433694885,138546.31433694885,99097.63235572606,124613.03660756955,98295.7930707108,100381.88951186086,89415.18194867784,106371.81881297908,118151.91541299698,110616.61165897091,110877.0731869277
2024-03-25,138065.5765428069,138065.57654280693,138065.57654280693,98436.16971033302,124555.1233334516,97719.35231657879,99926.14346332796,88713.51910048585,105598.77429800562,117678.71741025329,110311.00300247569,110474.67990047656
2024-03-26,136514.82626306845,136514.82626306848,136514.82626306848,98842.0811671509,124715.80622736577,97839.13485051513,99910.58776457811,88577.6160535936,105630.88014760592,117008.67506485713,110107.26168098729,110116.9952946729
2024-03-27,135120.06489578504,135120.06489578506,135120.06489578506,98227.50884178864,123611.57474780559,97385.48049362766,99398.34315739604,88742.49994432896,105230.49213994794,116110.98728729335,111032.58158366292,110492.06155607585
2024-03-28,134866.7750067726,134866.77500677263,134866.77500677263,98125.94146702328,121835.02046435772,96768.59892049857,99465.82794275311,88473.80439365977,105051.41220043077,116041.57488916158,111011.35672790014,110288.38615080016
2024-04-01,135725.54218407648,135725.5421840765,135725.5421840765,98821.97966379324,121674.51153365575,97216.61374022682,99582.68015303033,88115.25657894011,105766.55536950531,116479.186216971,110818.2245085558,110521.87492348625
2024-04-02,135101.35252285012,135101.35252285015,135101.35252285015,97720.05204205154,120437.84081137368,95923.29854519082,98194.11040917551,87115.23954033016,104971.63589744286,115399.26115704677,110113.62714227372,109568.04425446835
2024-04-03,135963.33234619597,135963.33234619602,135963.33234619602,98273.98212387526,120851.9403064789,96313.35473116064,98531.56196740257,87118.13921656205,105185.36017822732,115965.68816312471,110234.58420966515,109813.95715865343
2024-04-04,133523.3521518131,133523.35215181316,133523.35215181316,97589.7153294948,120531.24928457523,96499.65703133836,97656.6831092975,86795.72861732778,105119.60957096088,114410.29587367894,108889.06404438928,108134.82706920347
2024-04-05,136394.90191446964,136394.9019144697,136394.9019144697,98719.93183927254,121629.0950492335,97240.59121141788,98707.77447945789,87355.2452300817,105743.74713892031,116256.2546312081,110026.60589879384,109409.07752984008
2024-04-08,135932.95631888942,135932.95631888948,135932.95631888948,98826.33122642672,121981.30285965573,97546.38987041618,98298.13639878629,87977.55017900099,105410.10962036236,115818.15265619585,110088.14534270395,109441.3696593006
2024-04-09,134769.7277624397,134769.72776243975,134769.72776243975,98298.2612909866,121312.57705853402,96794.39126702664,97591.16084679223,89172.01019826706,104877.96011674842,114906.1121604324,110215.50112875526,109846.24928811395
2024-04-10,135021.48723271542,135021.48723271547,135021.48723271547,96598.24722028799,119870.96792294929,95655.25890387547,96674.94117136834,86306.87015235753,103167.48145894142,114474.04934701833,109111.90174973694,108887.45351468372
2024-04-11,137931.9783840112,137931.97838401125,137931.97838401125,98147.34761977741,122110.78172634271,97688.77429602701,98393.59619328889,85890.89106601465,103698.92366643547,116725.37790424767,109935.36096888041,110626.19517833025
2024-04-12,135232.5723863987,135232.57238639877,135232.57238639877,96301.4611063844,119879.01400176599,95417.76764610656,96448.73180246355,82895.3468129313,99937.60508678191,114429.58068677023,108417.9134855989,108862.61283199777
2024-04-15,132607.15931593307,132607.15931593312,132607.15931593312,93979.65794353739,117268.79720087643,93290.21477486684,94342.02512559982,81420.81706635139,98556.1978847448,112069.08036217329,107059.63579185141,107071.7110409292
2024-04-16,133359.55206604546,133359.5520660455,133359.5520660455,93513.56949220799,117064.64406100035,92578.61510560491,94403.20140344235,81146.44420318805,98224.08200614716,112423.34748849146,106864.38840355295,107081.648830066
2024-04-17,131131.4668975031,131131.46689750315,131131.46689750315,92452.963679286,115093.38716670874,91975.63987586893,93375.13147918071,82153.41838844087,99442.97848302395,110872.04271202418,106231.91962890093,105775.10623996888
2024-04-18,130366.34652804499,130366.34652804505,130366.34652804505,92794.62420993875,114920.68882458317,92319.43353356482,93331.1793465142,82988.91495617872,100454.30909881592,110522.49293816798,106013.33221588559,105171.5163102922
2024-04-19,125227.38312728649,125227.38312728654,125227.38312728654,91066.387771518,111480.53469496394,91679.12205722097,90140.07226232692,82227.18843023702,99532.27376522805,106454.67810428131,105088.01231320997,102995.6028883718
2024-04-22,127358.246279849,127358.24627984906,127358.24627984906,92108.32082539528,113291.72825608714,92950.2971980665,91941.47675107479,81869.19346117723,98678.67092519157,108424.11383987915,106055.78857888583,104031.39947191
2024-04-23,130658.54910995941,130658.54910995947,130658.54910995947,94598.15310186343,115854.01493879082,95702.66386066769,94355.81483564744,83780.27576336416,101278.20565764989,111252.52209418948,107314.30745510587,105583.84738588013
2024-04-24,129395.05820610463,129395.05820610469,129395.05820610469,93993.55538791326,115175.86733217644,94741.2959098375,93185.11766168577,85621.19920731481,100229.10819265778,110024.43695994116,107263.3771133398,105941.53199168379
2024-04-25,127658.88717272422,127658.8871727243,127658.8871727243,92944.28448365438,115923.93883879484,97021.45308312091,91608.61379740824,87583.46206167243,99272.93115370096,108355.6095022908,106855.88781888832,105429.84576566423
