strategy,ROI,CAGR,MDD,Sharpe,Calmar,AnnualizedTurnover,TickerTrades,Rebalances,CorrWithChampion
V7.3 (no overlay),190.01473088676613,50.39336401632213,-31.584352686362106,1.4640996430200215,1.595516758463808,7.480984065111612,216.0,40.0,
CHAMPION V7.3+V2 tuned,212.27791816662025,54.71754307934944,-25.783126921658795,1.6690632178071154,2.1222229268624764,7.480984065111612,216.0,40.0,
CHAMPION V7.3+V2 original,186.07972003112994,49.60798636573427,-31.748491098625987,1.516677312186188,1.5625305218956125,7.480984065111612,216.0,40.0,
"B1 dip5 + quality + trend, n5",47.86042354081579,16.171081022682188,-33.35510252275845,0.6757994518375118,0.4848158092648203,75.41746493282956,1017.0,134.0,0.6474361852171703
"B2 RSI dip + quality + trend, n5",131.17092464663745,37.87396706121413,-29.548377063738407,1.269016212625342,1.2817613292099497,73.19545959353337,890.0,130.0,0.6644205005102438
"B3 dip5 + quality + trend, n3",73.72298059375986,23.574399438874096,-38.1841478881171,0.8053251492109403,0.6173870766462866,114.6542611191773,692.0,135.0,0.5697750783821376
"B4 dip5 + quality + trend, n5, hold4w",157.85270051467091,43.7684867726357,-26.31382859005511,1.3811942889905797,1.6633264377642596,42.64967293948486,697.0,111.0,0.6880995137967225
"B5 dip5 only (no gates), n5",44.60288848068723,15.18341911866985,-34.17279966927486,0.5982661287849157,0.4443129993917774,98.55402881461856,1203.0,136.0,0.49678511875341774
"B6 dip5 + trend only, n5",6.368204351832474,2.3943495917796875,-49.1377054782414,0.22562814529592673,0.04872733817088643,83.04802213304819,1148.0,136.0,0.5272077683304691
"BLEND 50/50 champion + B4 dip5 + quality + trend, n5, hold4w",187.94395676974483,49.98088909814244,-25.345044356216718,1.6347001295206716,1.9720182137255942,,,,
CONTROL SPY buy&hold,68.36845977121588,22.100503638617376,-18.75523448942732,1.3487570452281568,1.1783645600952548,,,,
CONTROL QQQ buy&hold,79.76105188655396,25.20321948576083,-22.88330692157109,1.1759858078634218,1.1013801271005486,,,,
