Ticker,FirstHeld,LastHeld,WeeksHeld,RunUp63dBeforeEntry,ReturnWhileHeld,ReturnAfterLastHeld,ReturnIfNeverSold
NVO,2026-01-30,2026-02-20,4,0.15690094492659723,-0.20208652321316767,-0.02172076801072942,-0.21941781673508898
META,2026-02-27,2026-08-12,23,0.01879856421268644,-0.106961056918217,0.0,-0.106961056918217
MSFT,2026-01-02,2026-01-30,5,-0.0829875297696393,-0.09018055921748436,0.14441419251400545,0.041210280656666765
PLTR,2026-01-02,2026-08-12,11,-0.10259290098004581,0.01894431469211577,0.0,0.01894431469211577
AAPL,2026-02-06,2026-08-07,27,0.029540164492606547,0.1266000002633474,-0.03536203698049234,0.08676112939181224
ARRY,2026-01-02,2026-02-20,8,0.10502283701553927,0.16012388307795633,-0.5378450339467308,-0.46384298619852016
GOOG,2026-01-02,2026-06-18,25,0.2795520703483261,0.16535577483114783,-0.06827953225203798,0.08578582761846554
NVDA,2026-01-02,2026-08-12,33,-0.00021172791710555305,0.1866030664307139,0.0,0.1866030664307139
AVGO,2026-03-27,2026-08-12,18,-0.14145396714136427,0.38369694667908716,0.0,0.38369694667908716
PANW,2026-06-05,2026-08-12,11,0.648288293019037,0.4225694803564606,0.0,0.4225694803564606
