Date,V7.3 alone (no overlay),V7.3 + V2 (original params),V7.3 + V2 (tuned params),"V7.3 + min(V2, SPY-vol 12%)","V7.3 + min(V2, SPY-vol 15%)",CONTROL universe equal weight,CONTROL SPY buy&hold,CONTROL QQQ buy&hold
2020-01-02,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-01-03,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,99242.7731504922,99084.00677609946
2020-01-06,100000.0,100000.0,100000.0,100000.0,100000.0,101459.74673211828,99621.3814224306,99722.42501232859
2020-01-07,100000.0,100000.0,100000.0,100000.0,100000.0,101619.76833494255,99341.28467728896,99708.54696884754
2020-01-08,100000.0,100000.0,100000.0,100000.0,100000.0,102652.173510045,99870.72616464709,100457.98955292514
2020-01-09,100000.0,100000.0,100000.0,100000.0,100000.0,103092.9999364743,100547.92978938486,101309.21622090573
2020-01-10,100000.0,100000.0,100000.0,100000.0,100000.0,102913.56947909688,100258.57858759884,101050.14293820065
2020-01-13,100000.0,100000.0,100000.0,100000.0,100000.0,103857.038981722,100948.08713575907,102215.94800378535
2020-01-14,100000.0,100000.0,100000.0,100000.0,100000.0,104175.71575492174,100794.16223103717,101813.47062478444
2020-01-15,100000.0,100000.0,100000.0,100000.0,100000.0,104928.62722946003,101021.95789881787,101855.10475522761
2020-01-16,100000.0,100000.0,100000.0,100000.0,100000.0,105451.22529684757,101862.28935676682,102831.23381453769
2020-01-17,100000.0,100000.0,100000.0,100000.0,100000.0,105275.48427734661,102179.34209469988,103340.11893892688
2020-01-21,100000.0,100000.0,100000.0,100000.0,100000.0,105734.88784799799,101979.25826869727,103293.85408797326
2020-01-22,100000.0,100000.0,100000.0,100000.0,100000.0,106053.00320544968,101991.56319211973,103566.7983551342
2020-01-23,100000.0,100000.0,100000.0,100000.0,100000.0,105654.90372038174,102108.56302094321,103899.88551672985
2020-01-24,100000.0,100000.0,100000.0,100000.0,100000.0,104383.06084097459,101200.51326164667,103025.5334822976
